ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Manage stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight,Length,Width,Height,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,,,
11,simple,SM-YAM-ALPHA,,Mat for Yamaha Alpha,1,0,visible,Mat for Yamaha Alpha.,Custom-fit scooter mat for Yamaha Alpha.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > YAMAHA,"Alpha, Yamaha Mat",,https://placehold.co/600x400/CCEEFF/31343C?text=Yamaha_Alpha_Mat,,,,,,,,,
12,simple,SM-YAM-RAYZRBS6,,Mat for Yamaha Ray ZR BS6,1,0,visible,Mat for Yamaha Ray ZR BS6.,Scooter mat specifically designed for Yamaha Ray ZR BS6.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > YAMAHA,"Ray ZR BS6, Yamaha Mat",,https://placehold.co/600x400/BBEEFF/31343C?text=Yamaha_RayZRBS6_Mat,,,,,,,,,
13,simple,SM-YAM-FAS125,,Mat for Yamaha Fascino 125,1,0,visible,Mat for Yamaha Fascino 125.,Elegant and durable scooter mat for Yamaha Fascino 125.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > YAMAHA,"Fascino 125, Yamaha Mat",,https://placehold.co/600x400/AAEEFF/31343C?text=Yamaha_Fascino125_Mat,,,,,,,,,
14,simple,SM-YAM-FASCINO,,Mat for Yamaha Fascino (Older Model),1,0,visible,Mat for Yamaha Fascino (Old).,Scooter mat for the classic Yamaha Fascino model.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > YAMAHA,"Fascino, Yamaha Mat",,https://placehold.co/600x400/99EEFF/31343C?text=Yamaha_Fascino_Mat,,,,,,,,,
15,simple,SM-YAM-RAYZ,,Mat for Yamaha Ray Z,1,0,visible,Mat for Yamaha Ray Z.,Perfectly fitting scooter mat for Yamaha Ray Z.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > YAMAHA,"Ray Z, Yamaha Mat",,https://placehold.co/600x400/88EEFF/31343C?text=Yamaha_RayZ_Mat,,,,,,,,,
16,simple,SM-YAM-RAYZR,,Mat for Yamaha Ray ZR (Older Model),1,0,visible,Mat for Yamaha Ray ZR (Old).,Scooter mat for the Yamaha Ray ZR (non-BS6 version).,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > YAMAHA,"Ray ZR, Yamaha Mat",,https://placehold.co/600x400/77EEFF/31343C?text=Yamaha_RayZR_Mat,,,,,,,,,
17,grouped,HONDA-MATS-GROUP,,Honda Scooter Mats Collection,1,0,visible,Mats for Honda Scooters.,Explore our collection of scooter mats for various Honda models. Quality and precision fit.,,,,,taxable,,1,,0,,,0,,,,,,1,,,,"Scooter Mats, Brands > HONDA","Honda, Scooter Mats, Collection",,https://placehold.co/600x400/FFDDDD/333333?text=Honda_Mats_Collection,,,,,"SM-HON-GRZBS6,SM-HON-GRAZIA,SM-HON-ACTBIG,SM-HON-DIOBS4,SM-HON-DIO125,SM-HON-CLIQ,SM-HON-ETERNO,SM-HON-DIOBS6,SM-HON-ACTOLD,SM-HON-ACTI,SM-HON-DIOOLD,SM-HON-AVIATOR,SM-HON-ACT125BS6,SM-HON-ACT4G,SM-HON-ACTIVA,SM-HON-ACT5G,SM-HON-ACT3G,SM-HON-ACT125,SM-HON-ACT6G",,,
18,simple,SM-HON-GRZBS6,,Mat for Honda Grazia BS6,1,0,visible,Mat for Honda Grazia BS6.,Scooter mat for Honda Grazia BS6.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Grazia BS6, Honda Mat",,https://placehold.co/600x400/FFCCCC/31343C?text=Honda_GraziaBS6_Mat,,,,,,,,,
19,simple,SM-HON-GRAZIA,,Mat for Honda Grazia,1,0,visible,Mat for Honda Grazia.,Scooter mat for Honda Grazia.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Grazia, Honda Mat",,https://placehold.co/600x400/FFBBBB/31343C?text=Honda_Grazia_Mat,,,,,,,,,
20,simple,SM-HON-ACTBIG,,Mat for Honda Activa Bigline,1,0,visible,Mat for Honda Activa Bigline.,Scooter mat for Honda Activa Bigline.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa Bigline, Honda Mat",,https://placehold.co/600x400/FFAAAA/31343C?text=Honda_ActivaBig_Mat,,,,,,,,,
21,simple,SM-HON-DIOBS4,,Mat for Honda Dio BS4,1,0,visible,Mat for Honda Dio BS4.,Scooter mat for Honda Dio BS4.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Dio BS4, Honda Mat",,https://placehold.co/600x400/FF9999/31343C?text=Honda_DioBS4_Mat,,,,,,,,,
22,simple,SM-HON-DIO125,,Mat for Honda Dio 125,1,0,visible,Mat for Honda Dio 125.,Scooter mat for Honda Dio 125.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Dio 125, Honda Mat",,https://placehold.co/600x400/FF8888/31343C?text=Honda_Dio125_Mat,,,,,,,,,
23,simple,SM-HON-CLIQ,,Mat for Honda Cliq,1,0,visible,Mat for Honda Cliq.,Scooter mat for Honda Cliq.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Cliq, Honda Mat",,https://placehold.co/600x400/FF7777/31343C?text=Honda_Cliq_Mat,,,,,,,,,
24,simple,SM-HON-ETERNO,,Mat for Honda Eterno,1,0,visible,Mat for Honda Eterno.,Scooter mat for Honda Eterno.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Eterno, Honda Mat",,https://placehold.co/600x400/FF6666/31343C?text=Honda_Eterno_Mat,,,,,,,,,
25,simple,SM-HON-DIOBS6,,Mat for Honda Dio BS6,1,0,visible,Mat for Honda Dio BS6.,Scooter mat for Honda Dio BS6.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Dio BS6, Honda Mat",,https://placehold.co/600x400/FF5555/31343C?text=Honda_DioBS6_Mat,,,,,,,,,
26,simple,SM-HON-ACTOLD,,Mat for Honda Activa Old,1,0,visible,Mat for Honda Activa Old.,Scooter mat for older Honda Activa models.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa Old, Honda Mat",,https://placehold.co/600x400/FF4444/31343C?text=Honda_ActivaOld_Mat,,,,,,,,,
27,simple,SM-HON-ACTI,,Mat for Honda Activa i,1,0,visible,Mat for Honda Activa i.,Scooter mat for Honda Activa i.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa i, Honda Mat",,https://placehold.co/600x400/FF3333/31343C?text=Honda_ActivaI_Mat,,,,,,,,,
28,simple,SM-HON-DIOOLD,,Mat for Honda Dio Old (SCV100),1,0,visible,Mat for Honda Dio Old (SCV100).,Scooter mat for older Honda Dio models (SCV100).,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Dio Old, SCV100, Honda Mat",,https://placehold.co/600x400/FF2222/31343C?text=Honda_DioOld_Mat,,,,,,,,,
29,simple,SM-HON-AVIATOR,,Mat for Honda Aviator,1,0,visible,Mat for Honda Aviator.,Scooter mat for Honda Aviator.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Aviator, Honda Mat",,https://placehold.co/600x400/FF1111/31343C?text=Honda_Aviator_Mat,,,,,,,,,
30,simple,SM-HON-ACT125BS6,,Mat for Honda Activa 125 BS6,1,0,visible,Mat for Honda Activa 125 BS6.,Scooter mat for Honda Activa 125 BS6.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa 125 BS6, Honda Mat",,https://placehold.co/600x400/FF0000/31343C?text=Honda_Activa125BS6_Mat,,,,,,,,,
31,simple,SM-HON-ACT4G,,Mat for Honda Activa 4G,1,0,visible,Mat for Honda Activa 4G.,Scooter mat for Honda Activa 4G.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa 4G, Honda Mat",,https://placehold.co/600x400/EE0000/31343C?text=Honda_Activa4G_Mat,,,,,,,,,
32,simple,SM-HON-ACTIVA,,Mat for Honda Activa,1,0,visible,Mat for Honda Activa.,Scooter mat for general Honda Activa models.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa, Honda Mat",,https://placehold.co/600x400/DD0000/31343C?text=Honda_Activa_Mat,,,,,,,,,
33,simple,SM-HON-ACT5G,,Mat for Honda Activa 5G,1,0,visible,Mat for Honda Activa 5G.,Scooter mat for Honda Activa 5G.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa 5G, Honda Mat",,https://placehold.co/600x400/CC0000/31343C?text=Honda_Activa5G_Mat,,,,,,,,,
34,simple,SM-HON-ACT3G,,Mat for Honda Activa 3G,1,0,visible,Mat for Honda Activa 3G.,Scooter mat for Honda Activa 3G.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa 3G, Honda Mat",,https://placehold.co/600x400/BB0000/31343C?text=Honda_Activa3G_Mat,,,,,,,,,
35,simple,SM-HON-ACT125,,Mat for Honda Activa 125,1,0,visible,Mat for Honda Activa 125.,Scooter mat for Honda Activa 125 (non-BS6).,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa 125, Honda Mat",,https://placehold.co/600x400/AA0000/31343C?text=Honda_Activa125_Mat,,,,,,,,,
36,simple,SM-HON-ACT6G,,Mat for Honda Activa 6G,1,0,visible,Mat for Honda Activa 6G.,Scooter mat for Honda Activa 6G.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HONDA,"Activa 6G, Honda Mat",,https://placehold.co/600x400/990000/31343C?text=Honda_Activa6G_Mat,,,,,,,,,
37,grouped,TVS-MATS-GROUP,,TVS Scooter Mats Collection,1,0,visible,Mats for TVS Scooters.,High-quality mats for a wide range of TVS scooter models.,,,,,taxable,,1,,0,,,0,,,,,,1,,,,"Scooter Mats, Brands > TVS","TVS, Scooter Mats, Collection",,https://placehold.co/600x400/EEFFEE/333333?text=TVS_Mats_Collection,,,,,"SM-TVS-ZEST,SM-TVS-JUP125,SM-TVS-NTORQ,SM-TVS-SCOOTYPEP,SM-TVS-IQUBE,SM-TVS-JUP110,SM-TVS-WEGO,SM-TVS-JUP113",,,
38,simple,SM-TVS-ZEST,,Mat for TVS Zest,1,0,visible,Mat for TVS Zest.,Scooter mat for TVS Zest.,,,,,taxable,,1,,0,,,0,0.65,,,,1,,,,Brands > TVS,"Zest, TVS Mat",,https://placehold.co/600x400/DDFFDD/31343C?text=TVS_Zest_Mat,,,,,,,,,
39,simple,SM-TVS-JUP125,,Mat for TVS Jupiter 125,1,0,visible,Mat for TVS Jupiter 125.,Scooter mat for TVS Jupiter 125.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > TVS,"Jupiter 125, TVS Mat",,https://placehold.co/600x400/CCFFCC/31343C?text=TVS_Jupiter125_Mat,,,,,,,,,
40,simple,SM-TVS-NTORQ,,Mat for TVS Ntorq,1,0,visible,Mat for TVS Ntorq.,Scooter mat for TVS Ntorq.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > TVS,"Ntorq, TVS Mat",,https://placehold.co/600x400/BBFFBB/31343C?text=TVS_Ntorq_Mat,,,,,,,,,
41,simple,SM-TVS-SCOOTYPEP,,Mat for TVS Scooty Pep+,1,0,visible,Mat for TVS Scooty Pep+.,Scooter mat for TVS Scooty Pep+.,,,,,taxable,,1,,0,,,0,0.6,,,,1,,,,Brands > TVS,"Scooty Pep, TVS Mat",,https://placehold.co/600x400/AAFFAA/31343C?text=TVS_ScootyPep_Mat,,,,,,,,,
42,simple,SM-TVS-IQUBE,,Mat for TVS iQube,1,0,visible,Mat for TVS iQube.,Scooter mat for TVS iQube electric scooter.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > TVS, Electric Scooters","iQube, TVS Mat, Electric",,https://placehold.co/600x400/99FF99/31343C?text=TVS_iQube_Mat,,,,,,,,,
43,simple,SM-TVS-JUP110,,Mat for TVS Jupiter 110,1,0,visible,Mat for TVS Jupiter 110.,Scooter mat for TVS Jupiter 110.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > TVS,"Jupiter 110, TVS Mat",,https://placehold.co/600x400/88FF88/31343C?text=TVS_Jupiter110_Mat,,,,,,,,,
44,simple,SM-TVS-WEGO,,Mat for TVS Wego,1,0,visible,Mat for TVS Wego.,Scooter mat for TVS Wego.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > TVS,"Wego, TVS Mat",,https://placehold.co/600x400/77FF77/31343C?text=TVS_Wego_Mat,,,,,,,,,
45,simple,SM-TVS-JUP113,,Mat for TVS Jupiter 113,1,0,visible,Mat for TVS Jupiter 113.,Scooter mat for TVS Jupiter 113.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > TVS,"Jupiter 113, TVS Mat",,https://placehold.co/600x400/66FF66/31343C?text=TVS_Jupiter113_Mat,,,,,,,,,
46,grouped,HERO-MATS-GROUP,,Hero Scooter Mats Collection,1,0,visible,Mats for Hero Scooters.,Find the perfect mat for your Hero scooter from our extensive collection.,,,,,taxable,,1,,0,,,0,,,,,,1,,,,"Scooter Mats, Brands > HERO","Hero, Scooter Mats, Collection",,https://placehold.co/600x400/FFFFDD/333333?text=Hero_Mats_Collection,,,,,"SM-HERO-MAESTROEDGE,SM-HERO-MAESTRO,SM-HERO-PLEASURE,SM-HERO-XOOM,SM-HERO-DESTINI,SM-HERO-DUET,SM-HERO-DESTINI125,SM-HERO-XOOM125",,,
47,simple,SM-HERO-MAESTROEDGE,,Mat for Hero Maestro Edge,1,0,visible,Mat for Hero Maestro Edge.,Scooter mat for Hero Maestro Edge.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Maestro Edge, Hero Mat",,https://placehold.co/600x400/FFFFCC/31343C?text=Hero_MaestroEdge_Mat,,,,,,,,,
48,simple,SM-HERO-MAESTRO,,Mat for Hero Maestro,1,0,visible,Mat for Hero Maestro.,Scooter mat for Hero Maestro.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Maestro, Hero Mat",,https://placehold.co/600x400/FFFFBB/31343C?text=Hero_Maestro_Mat,,,,,,,,,
49,simple,SM-HERO-PLEASURE,,Mat for Hero Pleasure,1,0,visible,Mat for Hero Pleasure.,Scooter mat for Hero Pleasure.,,,,,taxable,,1,,0,,,0,0.65,,,,1,,,,Brands > HERO,"Pleasure, Hero Mat",,https://placehold.co/600x400/FFFFAA/31343C?text=Hero_Pleasure_Mat,,,,,,,,,
50,simple,SM-HERO-XOOM,,Mat for Hero Xoom,1,0,visible,Mat for Hero Xoom.,Scooter mat for Hero Xoom.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Xoom, Hero Mat",,https://placehold.co/600x400/FFFF99/31343C?text=Hero_Xoom_Mat,,,,,,,,,
51,simple,SM-HERO-DESTINI,,Mat for Hero Destini,1,0,visible,Mat for Hero Destini.,Scooter mat for Hero Destini.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Destini, Hero Mat",,https://placehold.co/600x400/FFFF88/31343C?text=Hero_Destini_Mat,,,,,,,,,
52,simple,SM-HERO-DUET,,Mat for Hero Duet,1,0,visible,Mat for Hero Duet.,Scooter mat for Hero Duet.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Duet, Hero Mat",,https://placehold.co/600x400/FFFF77/31343C?text=Hero_Duet_Mat,,,,,,,,,
53,simple,SM-HERO-DESTINI125,,Mat for Hero Destini 125,1,0,visible,Mat for Hero Destini 125.,Scooter mat for Hero Destini 125.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Destini 125, Hero Mat",,https://placehold.co/600x400/FFFF66/31343C?text=Hero_Destini125_Mat,,,,,,,,,
54,simple,SM-HERO-XOOM125,,Mat for Hero Xoom 125,1,0,visible,Mat for Hero Xoom 125.,Scooter mat for Hero Xoom 125.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,Brands > HERO,"Xoom 125, Hero Mat",,https://placehold.co/600x400/FFFF55/31343C?text=Hero_Xoom125_Mat,,,,,,,,,
55,grouped,ELECTRIC-MATS-GROUP,,Electric Scooter Mats Collection,1,0,visible,Mats for Electric Scooters.,A wide selection of mats for various electric scooter models and brands.,,,,,taxable,,1,,0,,,0,,,,,,1,,,,"Scooter Mats, Brands > ELECTRIC, Electric Scooters","Electric Scooter, EV Mat, Collection",,https://placehold.co/600x400/DDFFEE/333333?text=Electric_Mats_Collection,,,,,"SM-ELEC-NYX,SM-ELEC-OLA,SM-ELEC-STORM,SM-ELEC-OPTIMA,SM-ELEC-BOUNCEINF,SM-ELEC-VIDA,SM-ELEC-ATHER,SM-ELEC-CHETAK,SM-ELEC-AMPERE,SM-ELEC-MAGNUS,SM-ELEC-RIZTA,SM-ELEC-CHETAKNEW",,,
56,simple,SM-ELEC-NYX,,Mat for NYX Electric Scooter,1,0,visible,Mat for NYX Electric.,Scooter mat for NYX electric scooters.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","NYX, Electric Scooter Mat",,https://placehold.co/600x400/CCFFEE/31343C?text=NYX_Electric_Mat,,,,,,,,,
57,simple,SM-ELEC-OLA,,Mat for OLA Electric Scooter,1,0,visible,Mat for OLA Electric.,"Scooter mat for OLA electric scooters. (Specify S1, Pro, Air etc. if mats differ)",,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","OLA, Electric Scooter Mat",,https://placehold.co/600x400/BBFFEE/31343C?text=OLA_Electric_Mat,,,,,,,,,
58,simple,SM-ELEC-STORM,,Mat for STORM Electric Scooter,1,0,visible,Mat for STORM Electric.,Scooter mat for STORM electric scooters.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","STORM, Electric Scooter Mat",,https://placehold.co/600x400/AAFFEE/31343C?text=STORM_Electric_Mat,,,,,,,,,
59,simple,SM-ELEC-OPTIMA,,Mat for Optima Electric Scooter,1,0,visible,Mat for Optima Electric.,Scooter mat for Optima electric scooters.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Optima, Electric Scooter Mat",,https://placehold.co/600x400/99FFEE/31343C?text=Optima_Electric_Mat,,,,,,,,,
60,simple,SM-ELEC-BOUNCEINF,,Mat for Bounce Infinity Electric Scooter,1,0,visible,Mat for Bounce Infinity.,Scooter mat for Bounce Infinity electric scooters.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Bounce Infinity, Electric Scooter Mat",,https://placehold.co/600x400/88FFEE/31343C?text=Bounce_Infinity_Mat,,,,,,,,,
61,simple,SM-ELEC-VIDA,,Mat for VIDA Electric Scooter,1,0,visible,Mat for VIDA Electric.,Scooter mat for VIDA electric scooters (by Hero).,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","VIDA, Hero VIDA, Electric Scooter Mat",,https://placehold.co/600x400/77FFEE/31343C?text=VIDA_Electric_Mat,,,,,,,,,
62,simple,SM-ELEC-ATHER,,Mat for Ather Electric Scooter,1,0,visible,Mat for Ather Electric.,"Scooter mat for Ather electric scooters (e.g., 450X, 450S).",,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Ather, Electric Scooter Mat",,https://placehold.co/600x400/66FFEE/31343C?text=Ather_Electric_Mat,,,,,,,,,
63,simple,SM-ELEC-CHETAK,,Mat for Chetak Electric Scooter,1,0,visible,Mat for Chetak Electric.,Scooter mat for Chetak electric scooters (by Bajaj).,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Chetak, Bajaj Chetak, Electric Scooter Mat",,https://placehold.co/600x400/55FFEE/31343C?text=Chetak_Electric_Mat,,,,,,,,,
64,simple,SM-ELEC-AMPERE,,Mat for Ampere Electric Scooter,1,0,visible,Mat for Ampere Electric.,Scooter mat for Ampere electric scooters.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Ampere, Electric Scooter Mat",,https://placehold.co/600x400/44FFEE/31343C?text=Ampere_Electric_Mat,,,,,,,,,0
65,simple,SM-ELEC-MAGNUS,,Mat for Magnus Electric Scooter,1,0,visible,Mat for Magnus Electric.,Scooter mat for Magnus electric scooters.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Magnus, Electric Scooter Mat",,https://placehold.co/600x400/33FFEE/31343C?text=Magnus_Electric_Mat,,,,,,,,,0
66,simple,SM-ELEC-RIZTA,,Mat for Rizta Electric Scooter,1,0,visible,Mat for Rizta Electric.,Scooter mat for Rizta electric scooters (by Ather).,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Rizta, Ather Rizta, Electric Scooter Mat",,https://placehold.co/600x400/22FFEE/31343C?text=Rizta_Electric_Mat,,,,,,,,,0
67,simple,SM-ELEC-CHETAKNEW,,Mat for Chetak New Electric Scooter,1,0,visible,Mat for Chetak New Electric.,Scooter mat for new Chetak electric scooter models.,,,,,taxable,,1,,0,,,0,0.7,,,,1,,,,"Brands > ELECTRIC, Electric Scooters","Chetak New, Bajaj Chetak, Electric Scooter Mat",,https://placehold.co/600x400/11FFEE/31343C?text=Chetak_New_Electric_Mat,,,,,,,,,0
